"date","plot_match","lon","lat","wind_speed_mean","lai_high_mean","lai_low_mean","temp_mean","max_temp","min_temp","vpd_mean","surf_net_sol_sum","surf_net_sol_clear_sum","top_net_sol_sum","top_net_sol_clear_sum","cloud_mean","precip_sum","CLYPPT_M_sl1_1km_ll","CLYPPT_M_sl7_1km_ll","SLTPPT_M_sl1_1km_ll","SLTPPT_M_sl7_1km_ll","SNDPPT_M_sl1_1km_ll","SNDPPT_M_sl7_1km_ll","ORCDRC_M_sl1_1km_ll","ORCDRC_M_sl7_1km_ll","CECSOL_M_sl1_1km_ll","CECSOL_M_sl7_1km_ll"
2018-07-15,"ZIS_1405",23.40056,-13.59615,3.02091247430069,3.19981696276927,1.64074287730633,293.655528309315,300.22064633035,289.174204012822,-0.148132509965274,7273607.77867639,8716726.27006241,10381943.0640441,11882114.4551905,0.251780273551747,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-16,"ZIS_1405",23.40056,-13.59615,4.27273694977349,3.19955373365909,1.64064966255074,293.126976408199,298.876984620046,288.049430230255,-0.13813301852544,8100380.5706438,8731436.92588467,11207657.8583614,11907772.4383135,0.329245062284142,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-17,"ZIS_1405",23.40056,-13.59615,4.27709417520654,3.19930612695846,1.64063556540693,290.868594415939,295.78021171779,286.464339952206,-0.10954424747187,6831925.36474753,8801100.02691774,9923917.07384066,11919622.011994,0.53915584514672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-18,"ZIS_1405",23.40056,-13.59615,3.81643007033899,3.19907289122301,1.64065545564234,291.114201410886,296.717113904266,287.41854862543,-0.122467000825125,8652348.02032564,8902720.69827415,11675883.4678101,11947001.2907085,0.379837893376874,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-19,"ZIS_1405",23.40056,-13.59615,3.51120378686144,3.19885301964695,1.64061142069525,290.149062148018,296.654692939918,285.212675393951,-0.106776159762486,8970437.10374926,8921964.4151191,12033293.2584194,11985049.069507,0.0888292921123709,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-20,"ZIS_1405",23.40056,-13.59615,3.49854363635553,3.19860883369551,1.6406144550831,290.176358567901,297.103121989083,285.002151159322,-0.107392636148109,9004182.92878397,8950421.91311248,12078561.7310363,12023873.4717471,0.299407677556854,-4.16333634234434e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-21,"ZIS_1405",23.40056,-13.59615,3.35309001644996,3.19839398885271,1.64048861367287,291.092282671368,297.878745727343,284.893290749776,-0.117674280133102,9063616.79788809,9005263.73997833,12117752.8785803,12059130.1637953,0.111521421777323,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-22,"ZIS_1405",23.40056,-13.59615,3.49338867768513,3.19816265201569,1.64050043921693,292.080648989782,298.860204865029,285.684289096089,-0.124845084236853,9074371.76677399,9015890.79089924,12162022.6863412,12103409.770833,0.00578588904317926,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-23,"ZIS_1405",23.40056,-13.59615,3.98852109164176,3.19790600253502,1.64051967004577,292.432777415845,298.551466928518,286.70988959865,-0.131938726387288,9088952.68423542,9036648.49697099,12196819.9198572,12144594.9295775,0.00753055712389178,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-24,"ZIS_1405",23.40056,-13.59615,4.14909430819495,3.1976953513193,1.64052334335015,291.811190094441,297.914300575575,286.3471974744,-0.127223475756109,9233455.70433217,9166504.83194726,12230798.5787924,12163757.3165276,0.00084944480897665,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25,"ZIS_1405",23.40056,-13.59615,3.56835382888689,3.19745815681603,1.64051290647162,291.708205204801,298.307883878339,285.597798782406,-0.130564617739033,9288412.74447988,9229178.94703432,12259067.7849633,12199926.3999512,0.0459717496019817,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26,"ZIS_1405",23.40056,-13.59615,2.18612583418222,3.19725241948315,1.64035357782529,291.503223072508,298.095119539011,286.743389020727,-0.125728082386059,7897943.57139151,9151526.8045107,11070010.1276609,12271597.7452581,0.22586076226227,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-27,"ZIS_1405",23.40056,-13.59615,1.30882269337765,3.19698185043898,1.64036749614698,292.190637862526,300.620540478086,284.732349358905,-0.142792910150238,9263786.43944272,9190890.4912029,12399244.4478354,12326837.0414905,0.00089522327173587,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-28,"ZIS_1405",23.40056,-13.59615,1.67796748925549,3.19674138373928,1.64038052780899,293.41330101953,301.530154580397,286.475636883177,-0.15693674952233,9295531.24319045,9228605.07701464,12442362.497795,12375663.3332214,0.000694306685181514,2.08166817117217e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-29,"ZIS_1405",23.40056,-13.59615,2.08402744222436,3.19651517189455,1.64039267281131,293.469173238429,301.949257446362,286.15259080021,-0.152401525349393,8972041.01994415,9206139.20485862,12202109.4276166,12432225.9771413,0.0854556737318094,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-30,"ZIS_1405",23.40056,-13.59615,1.91856993943156,3.19627919841107,1.64035408448797,294.16064248473,302.226431345151,286.427737187723,-0.160665181104368,9301796.49581127,9227230.39689927,12560372.2260235,12484166.9485603,0.0225179171816744,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-31,"ZIS_1405",23.40056,-13.59615,1.75127667388003,3.19604968673941,1.64026113051464,294.35335651243,303.142512091207,287.254994829656,-0.166967595383833,9392577.9112203,9329697.58942823,12585756.4231761,12522518.4854043,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-01,"ZIS_1405",23.40056,-13.59615,1.31747623245615,3.19581104023778,1.64025141823824,294.44064191769,303.444182236162,286.714032933253,-0.174042605082377,9467344.37184319,9405369.51825798,12625740.7574199,12563559.9305388,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-02,"ZIS_1405",23.40056,-13.59615,1.73062315269821,3.1955866073006,1.64026005385645,294.853457325263,304.262420362314,287.414433008257,-0.17557452465568,9486904.39222987,9424456.95451147,12683393.0508294,12620719.2170052,0,-4.16333634234434e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-03,"ZIS_1405",23.40056,-13.59615,2.61497331803354,3.1953369092194,1.64026780281499,295.839642448449,305.069989275292,288.215943573097,-0.178571752772966,9373906.40806922,9307291.11842888,12774265.7751057,12706524.0100713,0.00928794144425963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-04,"ZIS_1405",23.40056,-13.59615,3.03359192810639,3.19511729035376,1.64027466511385,297.260323754915,305.894126113585,290.680698891833,-0.216958609531308,9551990.3628401,9478976.3935727,12799509.6650542,12727207.0095982,0.00453715430902497,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-05,"ZIS_1405",23.40056,-13.59615,2.76262265153642,3.19488822589263,1.64022971680795,296.592498365615,305.537955304216,289.798820908782,-0.217075235002256,9716073.84175911,9652574.40666535,12809981.1444005,12746326.8320999,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
