"plot_group","sp_rich","sp_rich_raref","bchave_mean_95_0-0.05","bchave_mean_95_0.05-0.1","bchave_mean_95_0.1-0.15","bchave_mean_95_0.15-0.2","bchave_mean_95_0.2-0.25","bchave_mean_95_0.25-0.3","bchave_mean_95_0.3-0.35","bchave_mean_95_0.35-0.4","bchave_mean_95_0.4-0.45","bchave_mean_95_0.45-0.5","bchave_mean_95_0.5-0.55","bchave_mean_95_0.55-0.6","bchave_mean_95_0.6-0.65","bchave_mean_95_0.65-0.7","bchave_mean_95_0.7-0.75","bchave_mean_95_0.75-0.8","bchave_mean_95_0.8-0.85","bchave_mean_95_0.85-0.9","bchave_mean_95_0.9-0.95","bchave_mean_95_0.95-1"
"MLC-011",5,5.923,NA,0.0551158941577921,NA,0.0609642765366907,NA,NA,NA,NA,NA,NA,NA,0.141627735565361,NA,0.162483863912132,0.218206909037087,NA,0.467409252203809,NA,0.590118586407448,NA
"MLC-012",6,6.232,NA,0.0310636767335463,NA,0.0405862665883381,0.0425371140816082,NA,0.0508107162216569,NA,NA,NA,0.0900814402502543,NA,0.103081443259852,NA,NA,NA,0.239778545114478,NA,0.482679292734897,NA
"MLC-013",3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MLC-014",7,8.812,NA,NA,NA,NA,NA,0.0536255492881196,0.0584233541005903,NA,NA,NA,NA,0.125482661399982,NA,0.152722245841831,0.156834429814537,NA,NA,NA,NA,NA
"MLC-015",5,5.467,NA,0.0384703465562079,0.0400601350618136,NA,0.0473884716035673,0.0526420758703972,NA,0.0591781226369392,0.0715700129039768,NA,NA,0.106077927282623,0.144978636444958,NA,0.15383194878534,0.176178302984106,NA,0.274591907276623,0.378092787383234,NA
"MLC-016",6,6.469,NA,0.051358129738141,0.0518722467362258,NA,NA,0.0725227121015089,0.0789301339869371,NA,NA,0.0877089574601759,0.0877975932748886,NA,NA,0.102460644110062,0.108239693092314,NA,NA,0.136653719076399,0.408699974386719,NA
"MLC-017",8,11.714,NA,0.0402417157088148,NA,0.087395983227961,0.0974038726533792,NA,NA,NA,NA,0.124750874758349,0.161818208627604,NA,0.176976866698235,0.180327341004142,NA,0.234487970016548,0.349182173508021,NA,0.952168631968197,NA
"MLC-018",4,4.469,NA,0.0393750974401038,NA,NA,NA,NA,NA,NA,NA,0.0932789555660167,0.0986937327575962,NA,NA,NA,0.152896609550365,NA,NA,0.367598022824541,0.435895533807898,NA
"MLC-019",5,3.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.270364879838989,NA,NA,NA,NA,NA,1.57743118871197,NA,NA
"MLC-020",6,8.87,NA,NA,NA,0.0421885897786,0.0433382958949117,0.0467198789866496,0.0474822531389941,0.098445921001841,0.119676403000321,0.130802025715563,NA,0.155705253612519,0.217455088376526,0.227562679571638,0.340581233578606,0.551746496418901,0.560375503783749,0.577867407669326,0.617699579733128,0.878586738462344
"MLC-021",7,6.833,NA,0.0474358817751591,NA,0.0513303566256677,NA,0.0730980200567885,NA,0.134973760685829,NA,0.157997973740715,0.173523016473037,NA,0.199523242111327,NA,0.220787683687778,NA,0.36003674696059,NA,0.39054173385381,NA
"MLC-022",12,8.962,0.0312383412408811,0.0391315371856957,0.0562679170286374,0.0615181443475604,NA,NA,0.0923764813659085,0.0980984903011156,NA,0.106175981122224,0.107837015251107,0.150282457098386,0.26065327118017,0.290107787372477,0.334516556743516,0.431464985603769,0.549551308534645,1.22839426800061,1.29810513167032,1.44421446169623
"MLC-023",10,15.921,NA,0.0358285405712515,NA,NA,0.0421155455816217,0.105038375150827,0.10709445699773,0.109316332124729,0.116857430010871,NA,NA,0.240418814384569,0.243451873477902,0.281909887921568,0.293559824549497,0.299306134175568,0.557612754306835,0.565331965194566,0.982999156989374,NA
