"plotcode","fire_return_mean"
"VAS-216",1189.5
"VAS-217",1648
"VAS-218",646.5
"VAS-219",1182.6
"VAS-220",592.666666666667
"VAS-221",736
"VAS-223",930.666666666667
"VAS-224",930.833333333333
"VAS-225",1093.33333333333
"VAS-226",1212.66666666667
"VAS-227",1029.75
"VAS-228",744.333333333333
"VAS-229",2267
"VAS-230",539
"VAS-231",849
"VAS-232",605.166666666667
"VAS-233",572
"VAS-234",2188.5
"VAS-235",1541
"VAS-236",1026.33333333333
"VAS-237",NaN
"VAS-238",NaN
"VAS-241",703
"VAS-242",978
"VAS-243",2184
"VAS-244",1076
"VAS-245",NaN
"VAS-246",584.285714285714
"VAS-247",584.285714285714
"VAS-248",NaN
"VAS-249",1464
"VAS-250",1464
"VAS-252",557.8
"VAS-253",596.75
"VAS-255",1213.33333333333
"VAS-259",NaN
"VAS-260",983.666666666667
"VAS-261",683.666666666667
"VAS-262",966
"VAS-263",559.363636363636
"VAS-264",557.6
"VAS-265",557.5
"VAS-267",506.909090909091
"VAS-268",428.923076923077
"VAS-270",576.222222222222
"VAS-272",734.142857142857
"VAS-273",561.727272727273
"VAS-274",561.454545454545
"VAS-275",734.142857142857
"VAS-276",561.727272727273
"VAS-277",734.142857142857
"VAS-279",561.454545454545
"VAS-281",561.454545454545
"VAS-283",561.727272727273
"VAS-285",561.727272727273
"VAS-286",550.4
"VAS-289",571
"VAS-290",550.4
"VAS-291",444.857142857143
"VAS-292",388.5
"VAS-293",649.555555555556
"ZGF-011",1088
"ZGF-012",4001
"ZGF-013",2015
"ZGF-014",1038
"ZGF-015",1340.66666666667
"ZGF-016",2011.5
"ZGF-017",NaN
"ZGF-018",1583.33333333333
"ZGF-019",1582.66666666667
"ZGF-020",1187.25
"ZGF-021",1346.33333333333
"ZGF-022",1346.33333333333
"ZGF-023",1187
"ZGF-024",1187
"ZGF-025",1088
"ZGF-026",NaN
"ZGF-027",NaN
"ZGF-030",2379.5
"ZGF-031",NaN
"ZGF-033",2379.5
"ZGF-035",2379.5
"ZGF-036",2379.5
"ZGF-037",2379.5
"ZGF-038",2380.5
"ZGF-039",2380.5
"ZGF-040",1505
"ZGF-041",803
"ZGF-042",799
"ZGF-043",792
"ZGF-045",2379.5
"ZGF-047",1044.33333333333
"ZGF-048",920.5
"ZGF-049",1104.2
"ZGF-050",1588
"ZGF-051",740
"ZGF-052",740
"ZGF-053",2013.5
"ZGF-054",2012.5
"ZGF-055",1467
"ZGF-056",1406
"ZGF-059",NaN
"ZGF-060",NaN
"ZGF-063",NaN
"ZGF-064",1467
"ZGF-065",1463.5
"ZGF-066",2012.5
"ZGF-067",4028
"ZGF-068",1342.66666666667
"ZGF-069",1464.5
"ZGF-070",1463
"ZGF-071",1463.5
"ZHF-001",670.833333333333
"ZHF-002",593
"ZHF-003",587.714285714286
"ZHF-004",734
"ZHF-005",644.5
"ZHF-006",635.25
"ZHH-005",732
"ZHH-010",NaN
"ZHH-016",NaN
"ZIS_001",366.266666666667
"ZIS_002",422.615384615385
"ZIS_003",422.615384615385
"ZIS_004",422.615384615385
"ZIS_005",2000.5
"ZIS_006",1822.33333333333
"ZIS_007",NaN
"ZIS_008",NaN
"ZIS_009",NaN
"ZIS_010",730
"ZIS_011",NaN
"ZIS_012",NaN
"ZIS_013",1102
"ZIS_014",1570.66666666667
"ZIS_015",1263.75
"ZIS_016",1102
"ZIS_017",481.461538461538
"ZIS_018",447.142857142857
"ZIS_019",447.142857142857
"ZIS_020",417.333333333333
"ZIS_023",NaN
"ZIS_024",NaN
"ZIS_026",NaN
"ZIS_027",NaN
"ZIS_029",NaN
"ZIS_032",NaN
"ZIS_033",543.5
"ZIS_034",542
"ZIS_035",542.5
"ZIS_036",542.5
"ZIS_039",387.125
"ZIS_040",364.0625
"ZIS_042",474.307692307692
"ZIS_043",474.307692307692
"ZIS_045",1368
"ZIS_046",1368
"ZIS_047",1368
"ZIS_048",1095.4
"ZIS_050",411.8
"ZIS_051",514.416666666667
"ZIS_052",484.916666666667
"ZIS_053",415.214285714286
"ZIS_054",385.0625
"ZIS_056",410.6
"ZIS_061",NaN
"ZIS_063",NaN
"ZIS_070",546.75
"ZIS_071",545.5
"ZIS_072",547.166666666667
"ZIS_073",1557
"ZIS_074",3113
"ZIS_075",3112.5
"ZIS_076",3113.5
"ZIS_077",413.533333333333
"ZIS_078",443.071428571429
"ZIS_079",477.153846153846
"ZIS_080",443.071428571429
"ZIS_081",442.857142857143
"ZIS_082",364.882352941176
"ZIS_083",364.882352941176
"ZIS_084",413.466666666667
"ZIS_085",412.8
"ZIS_086",387.125
"ZIS_088",387
"ZIS_097",1091
"ZIS_100",NaN
"ZIS_1000",444.428571428571
"ZIS_1001",532.636363636364
"ZIS_1002",390.666666666667
"ZIS_1003",2585
"ZIS_1004",731.666666666667
"ZIS_1005",731.666666666667
"ZIS_1007",732.857142857143
"ZIS_1008",1106.5
"ZIS_1009",880
"ZIS_101",548.166666666667
"ZIS_1010",654.777777777778
"ZIS_1011",1565.33333333333
"ZIS_1012",670.714285714286
"ZIS_1013",698
"ZIS_1014",NaN
"ZIS_1015",641.888888888889
"ZIS_1016",481.333333333333
"ZIS_1017",449.583333333333
"ZIS_1019",927.5
"ZIS_102",618.9
"ZIS_1020",927.5
"ZIS_1021",742.25
"ZIS_1022",899.428571428571
"ZIS_1023",556.454545454545
"ZIS_1024",510.166666666667
"ZIS_1025",510.083333333333
"ZIS_1026",510.083333333333
"ZIS_1027",455.833333333333
"ZIS_1028",570.181818181818
"ZIS_1029",570.181818181818
"ZIS_103",687.666666666667
"ZIS_1030",498.545454545455
"ZIS_1031",970.333333333333
"ZIS_1032",813.25
"ZIS_1034",1083.33333333333
"ZIS_1035",516.333333333333
"ZIS_1036",485
"ZIS_1037",648
"ZIS_1038",442.571428571429
"ZIS_1039",4013
"ZIS_104",676.833333333333
"ZIS_1040",1588.33333333333
"ZIS_1041",4012
"ZIS_1042",4012
"ZIS_1043",NaN
"ZIS_1044",NaN
"ZIS_1045",NaN
"ZIS_1047",726
"ZIS_1048",625.714285714286
"ZIS_1049",781
"ZIS_1050",1239.4
"ZIS_1051",532.636363636364
"ZIS_1052",487.166666666667
"ZIS_1053",546.7
"ZIS_1054",649.555555555556
"ZIS_1055",365.176470588235
"ZIS_1056",442.785714285714
"ZIS_1057",477.615384615385
"ZIS_1058",365.176470588235
"ZIS_1059",449.384615384615
"ZIS_1060",730.25
"ZIS_1061",487
"ZIS_1062",449.461538461538
"ZIS_1063",388.6875
"ZIS_1064",388.5625
"ZIS_1065",388.5625
"ZIS_1066",388.5625
"ZIS_1067",450.357142857143
"ZIS_1071",1020
"ZIS_1072",911
"ZIS_1073",1820
"ZIS_1075",814.666666666667
"ZIS_1076",796.166666666667
"ZIS_1077",796.166666666667
"ZIS_1078",781.571428571429
"ZIS_1079",1001.75
"ZIS_1080",731.142857142857
"ZIS_1081",731.142857142857
"ZIS_1082",1001.75
"ZIS_1083",842.714285714286
